# key	thai
BusinessSpeak.Talk.30251108	เธอจั่วได้ "จักรพรรดิ" รูปธรรมของระเบียบและอำนาจ... จับดาบขึ้นมาเถอะ ขอให้คมดาบผ่าม่านลวงตาได้
BusinessSpeak.Talk.30251109	เธอจั่วได้ "พระสันตะปาปา" เงาสะท้อนของม่านศักดิ์สิทธิ์... คทาจะผ่าสิ่งชั่วร้ายให้เธอเอง
BusinessSpeak.Talk.30251110	เธอจั่วได้ "คู่รัก" ความพัวพันของเส้นชะตาสองเส้น... กล่องของขวัญนี้ฝากไว้กับเธอ ขอให้คนที่รักกันได้ครองคู่กัน
BusinessSpeak.Talk.30251111	เธอจั่วได้ "ราชรถ" นิทานของการฝ่าเครื่องกีดขวาง... ล้อนี้เป็นของเธอแล้ว ทางข้างหน้าไม่มีใครขวางได้
BusinessSpeak.Talk.30251112	เธอจั่วได้ "พลัง" อุปมาของการใช้ไฟในใจฝึกสัตว์ร้าย... สนับแข้งคู่นี้เข้ากับขาเธอดี ขอให้ก้าวเดินมั่นคงดั่งขุนเขา
BusinessSpeak.Talk.30251113	เธอจั่วได้ "ฤๅษี" ร่องรอยจาง ๆ ของตะเกียงเดียวดายที่ตามหาความจริง... เสื้อคลุมตัวนี้ยกให้ ใส่แล้วซ่อนตัวในคืนมืดได้
BusinessSpeak.Talk.30251114	เธอจั่วได้ "กงล้อแห่งโชคชะตา" มาตรวัดของความไม่แน่นอน... ยกตาชั่งขึ้นมาสิ ตอนชั่งน้ำหนักมันจะเตือนเธอเอง
BusinessSpeak.Talk.30251115	เธอจั่วได้ "ความยุติธรรม" รอยแยกที่ตัดสินแก่นแท้... ดาบเล่มนี้ฝากไว้กับเธอ ขอให้คมดาบไม่ทรยศสิ่งที่เธอเห็น
BusinessSpeak.Talk.30251116	เธอจั่วได้ "คนแขวนคอ" ปมที่เกิดจากการมองกลับหัว... เก็บเชือกป่านนี้ไว้ เผื่อได้ใช้ในยามคับขัน
BusinessSpeak.Talk.30251117	เธอจั่วได้ "ความตาย" คำเผยของจุดจบที่เลี่ยงไม่ได้... เคียวทื่อเล่มนี้มาเจอเธอพอดี เอาไว้ถางหญ้าตัดเถาวัลย์ก็ถนัดมือ
BusinessSpeak.Talk.30251118	เธอจั่วได้ "ความพอดี" รอยประทับที่สองสิ่งหลอมรวมกัน... เครื่องรางดินเผานี้เป็นของเธอ พกติดตัวไว้ ใจที่เต้นระรัวอาจสงบลง
BusinessSpeak.Talk.30251119	เธอจั่วได้ "ปีศาจ" ตัวตนของโซ่ตรวนแห่งความอยาก... โยนเหรียญเลย จะหัวหรือก้อย ก็คือเหตุและผลของทางข้างหน้าทั้งนั้น
BusinessSpeak.Talk.30251120	เธอจั่วได้ "หอคอย" ซากของลางบอกเหตุที่พังทลาย... กุญแจตกลงในมือเธอแล้ว มีประตูบานหนึ่งรออยู่
BusinessSpeak.Talk.30251121	เธอจั่วได้ "ดวงดาว" เศษเสี้ยวของความหวังริบหรี่... ไม้เท้านี้ให้เธอ แสงน้อย ๆ อาจทำให้คืนหนาวอุ่นขึ้นบ้าง
BusinessSpeak.Talk.30251122	เธอจั่วได้ "ดวงจันทร์" รอยแหว่งของม่านภาพลวง... ถือไม้เท้านี้เดินไป หมอกลวงตาจะถอยห่างไปหลายก้าว
BusinessSpeak.Talk.30251123	เธอจั่วได้ "ดวงอาทิตย์" ซากของความลวงอันแผดเผา... ไม้เท้าอันนี้มอบให้เธอ ขอให้ทางเดินอุ่นขึ้นสักหน่อย
BusinessSpeak.Talk.30251124	เธอจั่วได้ "การพิพากษา" ภาชนะของการชำระเหตุและผล... ดาบใหญ่เล่มนี้ให้เธอถือ ตัดไฟแห่งกรรม สะสางหนี้เก่า
BusinessSpeak.Talk.30251125	เธอจั่วได้ "โลก" เศษเสี้ยวของวงจรที่ครบรอบ... วางก้อนกรวดนี้ไว้ในมือเธอ ขอให้เส้นทางใหม่มีแสงวิบวับสักนิด
BusinessSpeak.Talk.30261101	คุณนักล่า ช่วยฉันด้วยค่ะ!
BusinessSpeak.Talk.30261102	ใจเย็นก่อน
BusinessSpeak.Talk.30261103	เกิดอะไรขึ้น?
BusinessSpeak.Talk.30261104	เมื่อกี้ในเมืองมีเสียงดังสนั่น หลังจากนั้นอสูรก็โผล่ออกมาจากป่าเต็มไปหมด
BusinessSpeak.Talk.30261105	แถวนี้มีแต่อสูร... ต้องรีบออกไปจากที่นี่แล้ว
BusinessSpeak.Talk.30261106	ที่นี่ไม่ปลอดภัย ท่าเรือที่ใกล้ที่สุดอยู่ไหน?
BusinessSpeak.Talk.30261107	ในเมืองมีท่าเรือค่ะ เดี๋ยวฉันพาไปเอง!
BusinessSpeak.Talk.30261108	รู้สึกเหมือนโดนหลอกแฮะ เพราะฉันไม่ได้กล้าหาญขนาดนั้น...
BusinessSpeak.Talk.30261109	หือ?
BusinessSpeak.Talk.30261110	อ้าว ยังไม่ตายอีกเหรอ?
BusinessSpeak.Talk.30261111	เจ้านี่นะ! เฮ้อ ตอนนี้สถานการณ์ฉุกเฉิน ไม่มีเวลามาปากดีกันแล้ว!!!!
BusinessSpeak.Talk.30261112	ฉันชื่อลิลี่ นักบวชฝึกหัดค่ะ ภัยพิบัติแม่มดเกิดขึ้นกะทันหัน ตอนนี้ทั้งเกาะแตกไปหมดแล้ว ฉันได้รับคำสั่งให้มาตั้งค่ายชั่วคราวที่นี่ เพื่อรวบรวมผู้รอดชีวิตกันใหม่
BusinessSpeak.Talk.30261113	ตอนนี้โอกาสที่หายากที่สุดในชีวิตอยู่ตรงหน้าคุณแล้ว ถ้าเราร่วมมือกันฝ่าวิกฤตนี้ไปได้ เรื่องของเราจะถูกยกย่องและเล่าขานไปอีกนาน เหมือนไรน์ฮาร์ท นักล่าในตำนานเลยล่ะ!
BusinessSpeak.Talk.30261114	ฮีโร่ ว่ายังไงคะ?
BusinessSpeak.Talk.30261115	แล้วฉันต้องทำอะไร?
BusinessSpeak.Talk.30261116	ไม่เอา
BusinessSpeak.Talk.30261117	ฝ่าฟันทุกอุปสรรค ช่วยชีวิตทุกคน! ง่าย ๆ แค่นี้เอง
BusinessSpeak.Talk.30261118	...
BusinessSpeak.Talk.30261119	งั้นก็ปล่อยให้ฉันจัดการเอง! "ว่าที่" นักบวชในตำนาน!
BusinessSpeak.Talk.30261120	ฟังดูไม่ง่ายเลยสักนิด...
BusinessSpeak.Talk.30261121	เป็นนักล่าแล้วไม่มีความใฝ่ฝันอะไรเลยเหรอ??
BusinessSpeak.Talk.30261122	สำหรับ "ว่าที่" นักล่าในตำนาน แค่นี้ไม่ง่ายเหรอ?
BusinessSpeak.Talk.30261123	ฉันค่อนข้างกลัวตาย แล้วก็ไม่อยากไปยุ่งกับการผจญภัยประหลาด ๆ ของเธอ
BusinessSpeak.Talk.30261124	มีสิ ฉันวางแผนจะไปท่าเรือ หาเรือสักลำ แล้วหนีไป
BusinessSpeak.Talk.30261125	ฟังดูมีเหตุผลอยู่นะ...
BusinessSpeak.Talk.30261126	ไม่ได้โกหกฉันใช่ไหม...
BusinessSpeak.Talk.30261127	คุณอาจยังไม่รู้ ทั้งเกาะถูกพายุที่พวกแม่มดก่อขึ้นล้อมไว้หมดแล้ว ตราบใดที่ยังไม่ยุติความโกลาหลนี้ ก็ไม่มีใครหนีออกไปได้
BusinessSpeak.Talk.30261128	เวรเอ๊ย ซวยแล้ว...
BusinessSpeak.Talk.30261129	โอ๊ยแม่เจ้า ฉันไปทำบาปอะไรไว้เนี่ย!
BusinessSpeak.Talk.30261130	งั้นก็ออกเดินทางกันเลย! "ว่าที่" นักล่าในตำนาน!
BusinessSpeak.Talk.30261131	อย่าไปคิดเรื่องไร้สาระพวกนั้นเลย ได้เวลาออกเดินทางแล้ว!
BusinessSpeak.Talk.30261132	มองในแง่ดี อย่างน้อยตอนนี้ก็มีเป้าหมายแล้ว ไปกันเถอะ
BusinessSpeak.Talk.30271101	ต้องการปัดเป่าเคราะห์ไหม
BusinessSpeak.Talk.30271102	กลับหัวโชคชะตาของไพ่ทาโรต์ 1 ใบ
BusinessSpeak.Talk.30271103	ไม่มีความต้องการด้านนี้
BusinessSpeak.Talk.30271104	งั้นไว้มีวาสนาค่อยเจอกันใหม่
BusinessSpeak.Talk.30272101	เธอนี่เองคือคนที่แบกโชคชะตาไว้ ขออนุญาตติดตามเธอไปด้วย
BusinessSpeak.Talk.30272102	รับคำขอของหมอดู
BusinessSpeak.Talk.30272103	ขอบคุณมากท่าน
BusinessSpeak.Talk.30283101	อ้าว... อสูรที่อยู่รอบ ๆ หายไปไหนหมด?
BusinessSpeak.Talk.30283102	ฉันฆ่าหมดแล้ว
BusinessSpeak.Talk.30283103	ฮู่ ปลอดภัยสักที เดี๋ยวหาแท่นตีอาวุธเจอเมื่อไหร่ จะไปช่วยนายเอง!
BusinessSpeak.Talk.30331101	เธอเป็นใคร? ไม่ได้หมายตาระเบิดของฉันใช่ไหม?
BusinessSpeak.Talk.30331102	ชวนเจนนีไปด้วยกัน
BusinessSpeak.Talk.30331103	ระเบิดน่ะไม่แบ่งให้นะ!
BusinessSpeak.Talk.30341101	ดูท่าพายุบ้านี่จะขังพวกเราไว้บนเกาะนี้แล้วสินะ
BusinessSpeak.Talk.30341102	ชวนมาร์คัสไปด้วยกัน
BusinessSpeak.Talk.30341103	ได้ งั้นก็มาบดพวกอสูรนี่ให้เละไปด้วยกัน
BusinessSpeak.Talk.30351101	โธ่เอ๊ย ตรากตรำมาตั้งนานเพิ่งหาได้พันเดียว ขอไปด้วยได้ไหม?
BusinessSpeak.Talk.30351102	ชวนแลนนีเข้าทีม
BusinessSpeak.Talk.30351103	สรุปเป็นนักล่าได้เงินดีที่สุดจริง ๆ แผงลอยให้คนอื่นเฝ้าไปเถอะ
BusinessSpeak.Talk.30411101	สรุปสั้น ๆ นักล่า หลงถง
BusinessSpeak.Talk.30411102	แนะนำแคมป์ให้หลงถง
BusinessSpeak.Talk.30411103	สรุปสั้น ๆ เข้าร่วม
BusinessSpeak.Talk.30421101	ฉันคือสาวสวยนักพยากรณ์สุดยอดไร้เทียมทานแห่งจักรวาล! โชคชะตานำทางให้มาเจอเธอตรงนี้ร้อยเปอร์เซ็นต์เต็ม!~
BusinessSpeak.Talk.30421102	?
BusinessSpeak.Talk.30421103	ไม่ต้องคิดมาก สเตลลาเข้าร่วมร้อยเปอร์เซ็นต์แน่นอน!
BusinessSpeak.Talk.30431101	ที่ทำตกคือขวานทองหรือขวานเงิน?
BusinessSpeak.Talk.30431102	ฉันทำขวานทองตก
BusinessSpeak.Talk.30431103	ฉันทำขวานเงินตก
BusinessSpeak.Talk.30431104	ฉันไม่ใช้ขวาน ฉันใช้ปืน
BusinessSpeak.Talk.30431105	ตามที่ขอ
BusinessSpeak.Talk.30431106	ตามที่ขอ
BusinessSpeak.Talk.30431107	เธอนี่เป็นเด็กซื่อสัตย์จริง ๆ
BusinessSpeak.Talk.30431201	ไม่มีการตอบสนอง
BusinessSpeak.Talk.30441101	เฮ้ ฮีโร่! คุณหนูเตรียมเซอร์ไพรส์ไว้ให้แล้ว!
BusinessSpeak.Talk.30441102	(กล่องด้านซ้าย) เสียพลังชีวิต 10 รับเหรียญ 50
BusinessSpeak.Talk.30441103	(กล่องด้านขวา) ฟื้นพลังชีวิต 10 รับเรลิคสุ่ม 1 ชิ้น
BusinessSpeak.Talk.30441104	ซึ้งกับเซอร์ไพรส์ของคุณหนูบ้างไหม?
BusinessSpeak.Talk.30442101	พักสักหน่อยสิ มีคุณหนูอยู่ตรงนี้ ปลอดภัยแน่นอน
BusinessSpeak.Talk.30442102	(พักผ่อนให้เต็มที่) ฟื้นพลังชีวิต 30
BusinessSpeak.Talk.30442103	(เฝ้าระวังต่อ) เสียพลังชีวิต 10 รับเรลิคสุ่ม 1 ชิ้น
BusinessSpeak.Talk.30442104	ดื้อจริง ๆ เลยนะ เอ้า รับไปสิ~
BusinessSpeak.Talk.30442105	พักผ่อนดี ๆ นะ สู้ครั้งหน้าจะได้มีแรง~
BusinessSpeak.Talk.30443101	ของดีที่คุณหนูเอามาวันนี้ไม่ธรรมดานะ! อยากดูไหม?
BusinessSpeak.Talk.30443102	หยิบเหรียญ 10 ไปเลย
BusinessSpeak.Talk.30443103	รื้อดูเล่น ๆ (เสียพลังชีวิต 5)
BusinessSpeak.Talk.30443104	โอ้ เจอเรลิคด้วย ไม่ลองรื้อดูอีกหน่อยเหรอ?
BusinessSpeak.Talk.30443105	หยิบไปเลย
BusinessSpeak.Talk.30443106	รื้อให้ละเอียด (เสียพลังชีวิต 20)
BusinessSpeak.Talk.30443107	อิอิ เรลิคมหากาพย์เลยนะ เอาอีกสักรอบไหม?
BusinessSpeak.Talk.30443108	ได้แค่นี้ก็พอแล้ว!
BusinessSpeak.Talk.30443109	รื้อให้ละเอียดกว่าเดิม (เสียพลังชีวิต 50)
BusinessSpeak.Talk.30443110	ว้าว เรลิคตำนาน! รื้อต่อสิ ยิ่งเสี่ยงยิ่งได้เยอะนะ!~
BusinessSpeak.Talk.30443111	ถอย! คนเราต้องรู้จักพอ
BusinessSpeak.Talk.30443112	รื้อละเอียดเป็นครั้งสุดท้าย (เสียพลังชีวิต 200)
BusinessSpeak.Talk.30443113	คุณหนูดูคนไม่เคยพลาดจริง ๆ! คุณนี่มีรสนิยมสุด ๆ~
BusinessSpeak.Talk.30443114	เชอะ~~~~~
BusinessSpeak.Talk.30443115	น่าเบื่อจัง~ นี่จะเลิกแล้วเหรอ?
BusinessSpeak.Talk.30443116	อ้าว ตั้งแต่เมื่อไหร่กันที่คุณกลายเป็นคนน่าเบื่อขนาดนี้?
BusinessSpeak.Talk.30443117	เอ๋~ มาถึงขนาดนี้แล้ว อีกอันเดียวก็ไม่เห็นเป็นไร!
BusinessSpeak.Talk.30444101	ลืมภาพเมื่อกี้ซะ! ห้ามเอาไปพูดเด็ดขาด! แลกกับที่คุณหนูจะทำเรลิคสั่งตัดให้ 1 ชิ้น
BusinessSpeak.Talk.30444102	ขอเรลิค<color=#e92f2f>กายภาพ</color>
BusinessSpeak.Talk.30444103	ขอเรลิค<color=#11f7ef>เยือกแข็ง</color>
BusinessSpeak.Talk.30444104	ขอเรลิค<color=#f7e301>สายฟ้า</color>
BusinessSpeak.Talk.30444105	ขอเรลิค<color=#3dda4f>กรด</color>
BusinessSpeak.Talk.30444106	ขอเรลิค<color=#f44f06>เพลิง</color>
BusinessSpeak.Talk.30444107	งั้นเลือกคุณภาพอีกอย่างสิ
BusinessSpeak.Talk.30444108	งั้นเลือกคุณภาพอีกอย่างสิ
BusinessSpeak.Talk.30444109	งั้นเลือกคุณภาพอีกอย่างสิ
BusinessSpeak.Talk.30444110	งั้นเลือกคุณภาพอีกอย่างสิ
BusinessSpeak.Talk.30444111	งั้นเลือกคุณภาพอีกอย่างสิ
BusinessSpeak.Talk.30444112	(ยังต้องจ่ายอีกเหรอ?) คุณภาพธรรมดา
BusinessSpeak.Talk.30444113	(จ่ายนิดหน่อย) จ่าย 10 เหรียญ รับคุณภาพ<color=#05b2ea>หายาก</color>
BusinessSpeak.Talk.30444114	(จ่ายก้อนโต) จ่าย 50 เหรียญ รับคุณภาพ<color=#b41cf4>มหากาพย์</color>
BusinessSpeak.Talk.30444115	(จ่ายยกกระเป๋า) จ่าย 200 เหรียญ รับคุณภาพ<color=#f4a51c>ตำนาน</color>
BusinessSpeak.Talk.30444116	(ยังต้องจ่ายอีกเหรอ?) คุณภาพธรรมดา
BusinessSpeak.Talk.30444117	(จ่ายนิดหน่อย) จ่าย 10 เหรียญ รับคุณภาพ<color=#05b2ea>หายาก</color>
BusinessSpeak.Talk.30444118	(จ่ายก้อนโต) จ่าย 50 เหรียญ รับคุณภาพ<color=#b41cf4>มหากาพย์</color>
BusinessSpeak.Talk.30444119	(จ่ายยกกระเป๋า) จ่าย 200 เหรียญ รับคุณภาพ<color=#f4a51c>ตำนาน</color>
BusinessSpeak.Talk.30444120	(ยังต้องจ่ายอีกเหรอ?) คุณภาพธรรมดา
BusinessSpeak.Talk.30444121	(จ่ายนิดหน่อย) จ่าย 10 เหรียญ รับคุณภาพ<color=#05b2ea>หายาก</color>
BusinessSpeak.Talk.30444122	(จ่ายก้อนโต) จ่าย 50 เหรียญ รับคุณภาพ<color=#b41cf4>มหากาพย์</color>
BusinessSpeak.Talk.30444123	(จ่ายยกกระเป๋า) จ่าย 200 เหรียญ รับคุณภาพ<color=#f4a51c>ตำนาน</color>
BusinessSpeak.Talk.30444124	(ยังต้องจ่ายอีกเหรอ?) คุณภาพธรรมดา
BusinessSpeak.Talk.30444125	(จ่ายนิดหน่อย) จ่าย 10 เหรียญ รับคุณภาพ<color=#05b2ea>หายาก</color>
BusinessSpeak.Talk.30444126	(จ่ายก้อนโต) จ่าย 50 เหรียญ รับคุณภาพ<color=#b41cf4>มหากาพย์</color>
BusinessSpeak.Talk.30444127	(จ่ายยกกระเป๋า) จ่าย 200 เหรียญ รับคุณภาพ<color=#f4a51c>ตำนาน</color>
BusinessSpeak.Talk.30444128	(ยังต้องจ่ายอีกเหรอ?) คุณภาพธรรมดา
BusinessSpeak.Talk.30444129	(จ่ายนิดหน่อย) จ่าย 10 เหรียญ รับคุณภาพ<color=#05b2ea>หายาก</color>
BusinessSpeak.Talk.30444130	(จ่ายก้อนโต) จ่าย 50 เหรียญ รับคุณภาพ<color=#b41cf4>มหากาพย์</color>
BusinessSpeak.Talk.30444131	(จ่ายยกกระเป๋า) จ่าย 200 เหรียญ รับคุณภาพ<color=#f4a51c>ตำนาน</color>
BusinessSpeak.Talk.30444132	สัญญากันแล้วนะ! ห้ามเอาไปพูดเด็ดขาด!!
BusinessSpeak.Talk.30445101	อ๊ะร่า อ๊ะร่า! ฮีโร่ อยากลองยาดี ๆ สักหน่อยไหม?
BusinessSpeak.Talk.30445102	(เอาปริมาณ) รับยาสุ่ม 3 ขวด
BusinessSpeak.Talk.30445103	(เอาคุณภาพ) รับยา<color=#f4a51c>ตำนาน</color> 1 ขวด
BusinessSpeak.Talk.30445104	เลือกได้ฉลาดมาก~
BusinessSpeak.Talk.30441201	ขอบคุณที่แวะมานะ!~
BusinessSpeak.Talk.30441301	ไว้มาใหม่นะ คุณหนูจะปิดร้านแล้ว~
BusinessSpeak.Talk.30441401	คราวหน้าต้องมาอีกนะ~
BusinessSpeak.Talk.30441501	อุ๊ยยย นึกว่าฮีโร่จะไม่มาหาคุณหนูอีกแล้วซะอีก?
BusinessSpeak.Talk.30441601	ฮีโร่ ไม่คิดเลยว่าจะได้เจอกันอีกในโลกนี้นะ?
BusinessSpeak.Talk.30442201	ขอบคุณที่แวะมานะ!~
BusinessSpeak.Talk.30442301	ไว้มาใหม่นะ คุณหนูจะปิดร้านแล้ว~
BusinessSpeak.Talk.30442401	คราวหน้าต้องมาอีกนะ~
BusinessSpeak.Talk.30442501	อุ๊ยยย นึกว่าฮีโร่จะไม่มาหาคุณหนูอีกแล้วซะอีก?
BusinessSpeak.Talk.30442601	ฮีโร่ ไม่คิดเลยว่าจะได้เจอกันอีกในโลกนี้นะ?
BusinessSpeak.Talk.30443201	ขอบคุณที่แวะมานะ!~
BusinessSpeak.Talk.30443301	ไว้มาใหม่นะ คุณหนูจะปิดร้านแล้ว~
BusinessSpeak.Talk.30443401	คราวหน้าต้องมาอีกนะ~
BusinessSpeak.Talk.30443501	อุ๊ยยย นึกว่าฮีโร่จะไม่มาหาคุณหนูอีกแล้วซะอีก?
BusinessSpeak.Talk.30443601	ฮีโร่ ไม่คิดเลยว่าจะได้เจอกันอีกในโลกนี้นะ?
BusinessSpeak.Talk.30444201	ขอบคุณที่แวะมานะ!~
BusinessSpeak.Talk.30444301	ไว้มาใหม่นะ คุณหนูจะปิดร้านแล้ว~
BusinessSpeak.Talk.30444401	คราวหน้าต้องมาอีกนะ~
BusinessSpeak.Talk.30444501	อุ๊ยยย นึกว่าฮีโร่จะไม่มาหาคุณหนูอีกแล้วซะอีก?
BusinessSpeak.Talk.30444601	ฮีโร่ ไม่คิดเลยว่าจะได้เจอกันอีกในโลกนี้นะ?
BusinessSpeak.Talk.30445201	ขอบคุณที่แวะมานะ!~
BusinessSpeak.Talk.30445301	ไว้มาใหม่นะ คุณหนูจะปิดร้านแล้ว~
BusinessSpeak.Talk.30445401	คราวหน้าต้องมาอีกนะ~
BusinessSpeak.Talk.30445501	อุ๊ยยย นึกว่าฮีโร่จะไม่มาหาคุณหนูอีกแล้วซะอีก?
BusinessSpeak.Talk.30445601	ฮีโร่ ไม่คิดเลยว่าจะได้เจอกันอีกในโลกนี้นะ?
