# key	thai
StoryFra.Name.10100	คนทำขนมปังผู้ศรัทธาที่สุด
StoryFra.Description.10401	โลกลืมไปนานแล้วว่าในสงครามต้านอสูร เราเคยร่วมแรงร่วมใจต้านอสูรกันมาอย่างไร ทุกวันนี้บรรดาประเทศก่อสงครามเพราะความโลภส่วนตน ทำให้ผู้คนเดือดร้อนไปทั่ว เราต้องอัญเชิญเทพธิดาลงมา ยุติความวุ่นวายทั้งหมดนี้ ให้ศรัทธาและสันติกลับคืนสู่โลกอีกครั้ง...
StoryFra.Description.10402	นับตั้งแต่หัวหน้ากองอัศวินลิลี่ ออเรเลียน พลีชีพเพื่อศรัทธาในสงครามต้านอสูร เทพธิดาก็ไม่เคยตอบรับคำอธิษฐานของเราอีกเลย และเธอ ร่างมนุษย์ที่เคยทำให้เทพธิดาลงมาได้ชั่วขณะ คือเบาะแสเดียวที่เรามีอยู่ตอนนี้ จึงขอวิงวอนให้ลัทธิส่งมอบร่างศักดิ์สิทธิ์ของเธอให้ฝ่ายเรา เพื่อใช้ในการวิจัย...
StoryFra.Description.10403	ในนามของสุริยัน ให้ส่งมอบร่างศักดิ์สิทธิ์ของลิลี่แก่ตระกูลเวฟล็อค เพื่อสกัดเลือดศักดิ์สิทธิ์ไปใช้ในการทดลองเพาะภาชนะเทพธิดา\\n-- อาร์คบิชอป เวสเปรา วอร์เดนฮอลล์\\nศักราชสุริยัน 21 พฤศจิกายน 1187
StoryFra.Description.10500	ศักราชสุริยัน 1198 สงครามเจ็ดชาติที่ราชรัฐฟารุสก่อขึ้นดำเนินมา 14 ปีแล้ว ระหว่างที่ค้นคว้าเรื่องการชุบชีวิตเทพธิดาและตามหาทางไถ่บาป ตระกูลเวฟล็อคกลับบังเอิญค้นพบวิธีสร้างภัยพิบัติอสูรขึ้นมาเอง สุดท้ายกองอัศวินเทพธิดา ลัทธิสุริยัน และตระกูลเวฟล็อค จึงมีมติร่วมกันให้ยุติสงครามในนามของ "ทัณฑ์สวรรค์" และหลังสงครามจบ จะสร้างระบบเศรษฐกิจที่มีการล่าอสูรเป็นแกนกลางขึ้นใหม่ เพื่อรักษาอำนาจปกครองให้มั่นคงในระยะยาว
StoryFra.Description.10501	ต้นปี 1184 เมื่ออสูรลดจำนวนลงเรื่อย ๆ กระแสคลั่งล่าอสูรที่ดำเนินมาเกือบครึ่งศตวรรษก็เริ่มถึงจุดจบ ราชรัฐฟารุสมีสมาคมล่าอสูรมากที่สุดในทวีป และการล่าอสูรเป็นเสาหลักทางเศรษฐกิจกับแหล่งภาษีสำคัญของประเทศมาโดยตลอด เมื่ออุตสาหกรรมล่าอสูรถดถอยจนเศรษฐกิจซบเซา ในราชรัฐก็เกิดจลาจล เพื่อเบี่ยงเบนความขัดแย้งภายใน ราชรัฐฟารุสจึงอ้างว่าคัสเตอร์ประเทศเพื่อนบ้านยึดทรัพยากรและดินแดนของตน แล้วก่อสงครามขึ้นอย่างเปิดเผย
StoryFra.Description.10502	"ตอนที่เราสกัดเลือดศักดิ์สิทธิ์จากร่างศักดิ์สิทธิ์ของลิลี่ เราพบโดยบังเอิญว่าแก่นแท้ของพลังสุริยันกับพลังโกลาหลใกล้เคียงกันอย่างมาก ทั้งสองเป็นเพียงรูปแบบที่มีความบริสุทธิ์ต่างกันซึ่งกระทำต่อสรรพสิ่งในโลก ฝ่ายหนึ่งเสถียรกว่า แต่ขาดความเป็นไปได้และความเปลี่ยนแปลง อีกฝ่ายเต็มไปด้วยความเป็นไปได้และตัวแปรไม่จำกัด แต่ก็ไม่เสถียรอยู่ตลอด จากผลการวิจัยนี้ เราเชื่อว่าการสร้างอสูรขึ้นมาด้วยมือมนุษย์เป็นไปได้แน่นอน กระทั่งการเพาะแม่มดขึ้นมาก็ทำได้"
StoryFra.Description.10503	"นับจากราชรัฐฟารุสประกาศสงครามกับคัสเตอร์ ผ่านมาแล้วสิบสี่ปี ไฟสงครามลุกลามไปทั้งเจ็ดชาติ ผู้คนล้มตายและเดือดร้อนกันถ้วนหน้า แต่ความหวังที่จะชุบชีวิตเทพธิดายังริบหรี่ ภายใต้การเป็นสักขีพยานร่วมกันของตระกูลเวฟล็อค กองอัศวินเทพธิดา และลัทธิสุริยัน จึงมีมติให้เริ่ม [แผนการทัณฑ์สวรรค์] เป็นลำดับแรก โดยหย่อนคริสตัลโกลาหลลงในประเทศคู่สงครามหลัก เพื่อยุติสงครามที่ยืดเยื้อครั้งนี้..." ท้ายมตินี้มีลายเซ็นของตระกูลเวฟล็อค กองอัศวินเทพธิดา และลัทธิสุริยัน กำกับไว้ ส่วนท้ายสุดของเอกสารยังมีภาคผนวกที่บันทึกคร่าว ๆ ว่า หลังสงครามจบแล้ว ยังต้องหย่อนภัยพิบัติขนาดเล็กลงไปในระยะยาว เพื่อคงระบบเศรษฐกิจที่มีการล่าอสูรเป็นแกนกลางเอาไว้
StoryFra.Description.10600	เจ้าหญิงอลิเซียเป็นที่รักของทุกคน และเสียงร้องของเธอมีพลังเวทซ่อนอยู่ ตั้งแต่อายุแปดขวบ เธอออกทัวร์แสดงทั่วทั้งทวีปตามการจัดวางของตระกูลเวฟล็อคและลัทธิสุริยัน เพื่อเก็บรวบรวมพลังแห่ง "ความรัก" ของมนุษย์ ทั้งหมดนี้คือการเตรียมการสำหรับพิธีปลุกความเป็นเทพ
StoryFra.Description.10601	ผลการวิจัยชี้ว่าความรักกับศรัทธามีแก่นแท้ใกล้เคียงกันมาก พิธีอัญเชิญเทพธิดาต้องใช้พลังศรัทธาที่พุ่งขึ้นแบบระเบิดในเวลาสั้น ๆ แต่ในโลกทุกวันนี้ แทนที่จะทำให้ผู้คนหันมาศรัทธาเทพธิดาอีกครั้ง การสร้างนักร้องสาวที่คนทั้งโลกรักขึ้นมาสักคนน่าจะง่ายกว่า...
StoryFra.Description.10602	จดหมายลับเก่าที่ประทับตราตระกูลเวฟล็อค ลายมือเลือนไปมากแล้ว แต่ยังพออ่านได้ราง ๆ: "ให้ทุ่มเทปั้นอลิเซียขึ้นเป็นนักร้อง ลองสกัดพลังเวทของไซเรนมาปรับแต่งเสียงร้องของเจ้าหญิง ลัทธิจะช่วยเหลือในส่วนนี้ เพื่อรวบรวมความรักทั้งหมดในโลกไว้" ตรงที่ลงชื่อท้ายจดหมายระบุวันที่ไว้ว่า พฤษภาคม 1235
StoryFra.Description.10603	เพื่อให้พิธีสำเร็จ ความรักต้องพุ่งถึงจุดสูงสุด เจ้าหญิงอลิเซียจะเริ่มทัวร์ทั่วทวีปเป็นเวลาหนึ่งปี และจะประกาศเชิญทุกคนมาร่วมงานฉลองในทุกรอบการแสดง งานฉลองวันเกิดครั้งนี้จะจัดใหญ่โตอย่างที่ไม่เคยมีมาก่อน...
StoryFra.Description.10700	นับตั้งแต่แผนการเทพธิดาประดิษฐ์เริ่มขึ้นในศักราชสุริยัน 1186 ตระกูลเวฟล็อคก็ผลิตตัวอย่างทดลองภาชนะเทพธิดาขึ้นทุกไตรมาส ตัวอย่างทดลองทั้งหมดต้องผ่านการฝึกและการทดสอบที่โหดร้าย ส่วนตัวที่ไม่ผ่านและของเสียจะถูกทำลายทิ้งพร้อมกันในตอนท้าย แต่ไม่มีใครรู้ว่าในคืนฝนตกเมื่อสิบสองปีก่อน โทมัส คนเก็บศพที่แบกบาปไว้เต็มตัว เคยแอบส่งเด็กคนหนึ่งออกไปจากนรกแห่งนี้...
StoryFra.Description.10701	เศษหน้าบันทึกการทดลองที่หนีบอยู่ในแฟ้ม ลายมือเรียบร้อยและเย็นชา: ตัวอย่างทดลองล็อต 184 จากการทดสอบ หมายเลข 7 มีอัตราความเสถียร 99% ส่วนอีก 9 รายล้มเหลวทั้งหมด จะถูกทำลายตามขั้นตอนเป็นระยะ หมายเลข 184-7 ได้รับการตั้งชื่อโดยหัวหน้าตระกูลด้วยตนเองว่าอลิเซีย ส่วน 184-3 แม้จะรอดชีวิต แต่สัญญาณชีพอ่อนมาก จึงถูกทำเครื่องหมายว่าคัดทิ้ง วันที่: 16 กรกฎาคม 1234
StoryFra.Description.10702	หน้าไดอารีสีเหลืองซีด ลายมือสั่นเทา: "ผมรับหน้าที่ทำลายของเสียจากภาชนะเทพธิดาของเวฟล็อค สิ่งเดียวที่ทำได้คือให้เด็กพวกนี้จากไปอย่างมีศักดิ์ศรี ในคืนฝนตกปี 1234 ผมได้ยินเสียงร้องแผ่วเบาจากกองศพ นั่นคือหมายเลข 184-3 ที่ยังมีลมหายใจรวยริน ผมแอบเอาเธอไปฝากญาติของผมเลี้ยง เพื่อความปลอดภัยของเธอ ผมไม่ได้เจอเธออีกเลย รู้แค่ว่าชื่อของเธอตั้งตามหัวหน้ากองอัศวินเทพธิดาที่ยิ่งใหญ่ที่สุด ผมช่วยไว้ได้คนเดียว แต่กลับเฝ้ามองเด็กอีกนับไม่ถ้วนกลายเป็นเถ้าถ่าน ผมมีบาป"
StoryFra.Description.10703	ผลึกใสทั้งก้อน ข้างในมีหมอกสีม่วงข้นคลั่กหมุนวนไม่หยุด พอเข้าไปใกล้จะได้ยินเสียงร้องไห้สะอึกสะอื้นของเด็กนับไม่ถ้วนก้องอยู่ข้างหู นี่คือรูปธรรมของความแค้นจากตัวอย่างทดลองภาชนะเทพธิดาที่ล้มเหลวมาหลายรุ่น และเป็นหลักฐานความผิดที่ตระกูลเวฟล็อคปฏิเสธไม่ได้...
StoryFra.Description.10800	ตระกูลเวฟล็อครู้ดีว่าอลิเซียคือทั้งภาชนะเดียวที่แผนการเทพธิดาทำสำเร็จ และเป็นไพ่ใบสุดท้ายที่จะใช้หลุดพ้นจากการควบคุมของลัทธิสุริยัน ตอนแรกเลออนและผู้ใหญ่ในตระกูลมอบความรักอย่างละเอียดอ่อนให้เธอในนามของแผนการ หวังจะใช้ความผูกพันในครอบครัว เกียรติยศ และความรักจากคนทั้งเมือง ปั้นเทพเจ้าที่เป็นของเวฟล็อคเพียงผู้เดียวขึ้นมา แต่ตลอดหลายปีที่ผ่านไป การเสแสร้งกลับค่อย ๆ พันเกลียวเข้ากับความจริงใจ อลิเซียเติบโตมาในความรักจริง ๆ และเพราะแบบนั้น ตอนที่รู้ว่าตัวเองจะถูกส่งขึ้นแท่นบูชา เธอจึงยังยอมรับมันได้อย่างเต็มใจ...
StoryFra.Description.10801	"ปกป้องอลิเซียอย่างสุดกำลัง มอบความรักทั้งหมดในโลกให้เธอ ใช้ความรักเป็นโซ่ตรวนควบคุมเทพเจ้าองค์นี้ในอนาคต แล้วหลุดพ้นจากการควบคุมของลัทธิสุริยัน"
StoryFra.Description.10802	"เราจะส่งเจ้าหญิงขึ้นแท่นบูชากันจริง ๆ หรือ? เธอยิ้มทักทายนักวิจัยทุกคน จำวันเกิดของสาวใช้ได้ แถมยังแบ่งลูกอมที่ได้จากทัวร์ให้ยามอีก ตอนแรกผมคิดว่าความอ่อนโยนพวกนี้เป็นแค่ผลพลอยได้ที่แผนการต้องการ แต่ถ้าขนาดพวกเรายังเริ่มลังเล นั่นแปลว่าเธอไม่ได้เป็นแค่ภาชนะมานานแล้วหรือเปล่า ขอสุริยันอภัยให้พวกเราด้วย"
StoryFra.Description.10803	"แต่แรกผมให้ความรักทั้งหมดกับเธอก็เพื่อแผนการ แต่สิบกว่าปีผ่านไป ผมแยกไม่ออกแล้วว่าส่วนไหนคือการแสดง ส่วนไหนคือความจริงใจ และตอนนี้ที่ต้องเจอกับตอนจบแบบนี้ บางทีมันอาจเป็นบทลงโทษที่เทพเจ้ามีให้ผม..."
StoryFra.Description.10900	ในวินาทีที่ความเป็นเทพของอลิเซียตื่นขึ้น ลัทธิกลับทรยศตระกูลเวฟล็อคและกองอัศวินเทพธิดาอย่างกะทันหัน เพื่อจองจำเทพธิดาที่เพิ่งถือกำเนิด พวกเขาลงมีดใส่ตระกูลเวฟล็อคที่ไม่ทันตั้งตัว การได้เห็นคนที่รักที่สุดตายต่อหน้าต่อตา ทำให้ความรักอันสุดขั้วและความเจ็บปวดที่ฉีกหัวใจทำลายเจตจำนงของอลิเซียลงในพริบตา ความโกลาหลฉวยจังหวะนั้นกลืนกินสติของเธอจนหมด ความเป็นเทพพังครืนลง สุดท้ายสิ่งเดียวที่เหลืออยู่ในวิญญาณของเธอคือความปรารถนาบ้าคลั่ง: ให้ทุกคนที่อยู่ตรงนั้นตายตามเวฟล็อคไปด้วย เมื่อภาชนะเทพธิดาเพียงหนึ่งเดียวพังลง พลังเวทโกลาหลก็ก่อตัวเป็นกำแพงเมฆพายุสูงเสียดฟ้าโอบล้อมทั้งเกาะไว้จนมิด ไม่มีใครออกไปได้...
StoryFra.Description.10901	"พิธีล้มเหลวแล้ว... เธอกำลังกรีดร้องอยู่ในหัวผม! พลังเวทมหาศาลที่ทะลักออกมาจากป้อมเวฟล็อค... คือเธอ! เธอเป็นคนฉีกท้องฟ้าออก! พายุคือลมหายใจของเธอ อสูรคือฝันร้ายของเธอ! เราจบเห่แล้ว... ไม่มีใครหนีออกจากเกาะนี้ได้... เว้นแต่จะมีใครทำให้เธอสงบลงได้... เว้นแต่ยังมีภาชนะที่รองรับพลังเวทโกลาหลนี้ไหว..."
StoryFra.Description.10902	"ลัทธิทรยศพวกเรา ตอนที่เทพธิดาลงมา พวกเขาพยายามจองจำเธอและลงมือสังหารตระกูลเวฟล็อค เทพธิดาที่เพิ่งถือกำเนิดถูกความโกรธกลืนกิน นี่คือความบกพร่องที่ฉันปัดความรับผิดชอบไม่ได้ ฉันจะทำตามคำปรารถนาสุดท้ายของเธอให้สำเร็จ เพื่อไถ่บาปนี้ จนกว่าจะตาย"
StoryFra.Description.10903	ในคริสตัลก้อนนี้มีความทรงจำของอลิเซียวาบขึ้นมาเป็นระยะ: ความตื่นเต้นตอนขึ้นเวทีครั้งแรก ความสุขตอนได้รับการทะนุถนอมจากพ่อแม่ ความสับสนตอนต้องเผชิญชะตาที่ถูกกำหนดไว้ และที่เข้มข้นที่สุดคือความโกรธท่วมท้นตอนเห็นลัทธิสังหารคนที่เธอรักที่สุด! เมื่ออารมณ์ทั้งหมดถอยลงเหมือนน้ำลด สิ่งที่เหลืออยู่ก็มีแค่ความเด็ดขาดที่จะทำลายทุกอย่าง...
StoryFra.Description.11000	หลังพายุปิดล้อมเกาะ ผู้รอดชีวิตในค่ายต้องเจอเที่ยงคืนเดิมซ้ำแล้วซ้ำเล่า ความตาย ความล้มเหลว และตอนจบที่พังทลาย ถูกพลังบางอย่างพับกลับไปที่จุดเริ่มต้น เหลือเพียงเศษความทรงจำที่ค่อย ๆ ตกตะกอนอยู่ในวังวน จุดจบที่แท้จริงไม่ใช่การหนีออกจากพายุ แต่คือการทำให้อีกภาชนะหนึ่งยอมรับที่มาของตัวเอง โอบรับชะตาที่ถักทอขึ้นจากเลือดศักดิ์สิทธิ์ ความโกลาหล และความตายนับครั้งไม่ถ้วน แล้วทำภารกิจแห่งชะตาของเธอให้สำเร็จ...
StoryFra.Description.11001	"ฉันกลับมาที่ค่ายอีกแล้ว ทุกอย่างเริ่มใหม่หมด นี่รอบที่เท่าไหร่แล้วนะ?"
StoryFra.Description.11002	"สหายที่รักของฉัน ช่วยฉันในอดีตให้โอบรับชะตากรรม แล้วทำให้ทุกอย่างกลับเข้าที่ด้วยเถอะ..."
StoryFra.Description.11003	"วนต่อไป แข็งแกร่งขึ้น ช่วยฉัน ช่วยเกาะนี้ แล้วก็ช่วยตัวเธอเอง"
StoryFra.Reward.10100	พลังชีวิตพื้นฐาน+5%
StoryFra.Reward.10200	พลังชีวิตพื้นฐาน+5%
StoryFra.Reward.10300	พลังชีวิตพื้นฐาน+5%
StoryFra.Reward.10400	ปลดล็อกอาวุธ "อัศวินสงคราม"
StoryFra.Reward.10500	ปลดล็อกอาวุธ "อัศวินมรณะ"
StoryFra.Reward.10600	ปลดล็อกอาวุธ "อัศวินพิชิต"
StoryFra.Reward.10700	ปลดล็อกอาวุธ "อัศวินอดอยาก"
StoryFra.Reward.10800	ปลดล็อกอาวุธ "อัศวินพุ่ง"
StoryFra.Reward.10900	ปลดล็อกเรลิคสองธาตุ
StoryFra.Reward.11000	ปลดล็อกชิ้นส่วนอาวุธ "หัวใจแห่งจุดจบ"
