Relic.Name.41001	รองเท้าคนโง่
Relic.Name.41091	ระเบิดยุบตัว
Relic.Name.41092	ระเบิดแรงสูง
Relic.Name.41093	เตาหลอมเพลิง
Relic.Name.41094	ถุงมือไฟย้อน
Relic.Name.41095	ระเบิดฟอสฟอรัสขาว
Relic.Name.41096	ตราฟีนิกซ์
Relic.Name.41097	ลูกไฟระเบิด
Relic.Name.41098	กระสุนเพลิงมรณะ
Relic.Name.41099	ระเบิดเทอร์ไมต์
Relic.Name.41100	กุหลาบตะวันแผดเผา
Relic.Name.41101	แหวนแสงตะวัน
Relic.Name.41102	แหวนเพลิงคลั่ง
Relic.Name.41103	เพลิงนิพพาน
Relic.Name.41104	ฟืนไม่รู้จบ
Relic.Name.41105	ลูกแก้วแกนหลอมเหลว
Relic.Name.41106	มงกุฎเพลิงระเบิด
Relic.Name.41107	ดอกไม้พละกำลัง
Relic.Name.41108	เครื่องรางกรด
Relic.Name.41109	สมุนไพรรักษา
Relic.Name.41110	เขี้ยวหนองน้ำ
Relic.Name.41111	เบ้าแปรธาตุ
Relic.Name.41112	โคลเวอร์นำโชค
Relic.Name.41113	ลูกแก้วเติบโต
Relic.Name.41114	เลือดเน่าเสีย
Relic.Name.41115	ถุงมือพละกำลัง
Relic.Name.41116	เมล็ดชีวิต
Relic.Name.41117	เถาวัลย์พันธนาการ
Relic.Name.41118	ลูกแก้วพลังชีวิต
Relic.Name.41119	สร้อยไฮดรา
Relic.Name.41120	ยาพิษติดไฟ
Relic.Name.41121	หน้ากากกาฬโรค
Relic.Name.41122	ดอกไม้ทางมรณะ
Relic.Name.41123	ลำคอไฮดรา
Relic.Name.41124	จอกกำเนิด
Relic.Name.41125	แหวนพญางู
Relic.Name.41126	มงกุฎรากเน่า
Relic.Name.41127	น้ำตาลิช
Relic.Name.41128	ดอกไม้ชีวิต
Relic.Name.41129	รองเท้าความเร็ว
Relic.Name.41130	เครื่องรางมรณะ
Relic.Name.41131	ชิ้นส่วนน้ำหนักเบา
Relic.Name.41132	จี้ธรรมดา
Relic.Name.41133	ตำราเทคนิค
Relic.Name.41134	แม็กกาซีนไฟฟอสฟอรัส
Relic.Name.41135	สายใยแสง
Relic.Name.41136	เครื่องรางสังหาร
Relic.Name.41137	เครื่องรางทวีคูณ
Relic.Name.41138	เครื่องสกัดพลังงาน
Relic.Name.41139	เศษดาวตก
Relic.Name.41140	ปริซึมไร้สี
Relic.Name.41141	รังเพลิงมรณะ
Relic.Name.41142	อุปกรณ์น้ำหนักเบา
Relic.Name.41143	กระสุนทะเลทราย
Relic.Name.41144	อุปกรณ์น้ำหนักมาก
Relic.Name.41145	กระสุนล้างผลาญ
Relic.Name.41146	ความสง่างามนักล่า
Relic.Name.41147	เครื่องรางสูญสลาย
Relic.Name.41148	แหวนขโมยเวลา
Relic.Name.41149	ลูกเต๋าทะเลทราย
Relic.Name.41150	มงกุฎฮึกเหิม
Relic.Name.41151	กระปุกออมสินของแลนนี
Relic.Name.41152	คริสตัลอาคม
Relic.Name.41153	เครื่องปรับชิ้นส่วนอาวุธ
Relic.Name.41154	ตัวกันสั่นการยิง
Relic.Name.41155	กล้องเล็งล็อกเป้า
Relic.Name.41157	แหวนห้าสี
Relic.Name.41158	คริสตัลห้าสี
Relic.Name.41159	แหวนสูงสุดห้าสี
Relic.Name.41160	ใบเลื่อยประกายไฟ
Relic.Name.41161	เยือกแข็งแผ่กระจาย
Relic.Name.41162	ศิลาสายฟ้าประจุ
Relic.Name.41163	อุกกาบาตแกนหลอมเหลว
Relic.Name.41164	ขวดพิษปรอท
Relic.Name.41165	ตราเหล็กกล้า
Relic.Name.41166	ตราเยือกแข็ง
Relic.Name.41167	ตราสายฟ้า
Relic.Name.41168	ตราเพลิง
Relic.Name.41169	ตรากรด
Relic.Name.41170	กระสุนมิธริล
Relic.Name.41171	กระสุนแช่แข็งฉับพลัน
Relic.Name.41172	กระสุนช็อตไฟฟ้า
Relic.Name.41173	กระสุนโฟลจิสตัน
Relic.Name.41174	กระสุนกรดกัด
Relic.Name.41176	ศิลาประกายไฟ
Relic.Name.41177	กระสุนศรเยือกแข็ง
Relic.Name.41178	หมัดเยือกแข็ง
Relic.Name.41179	แกนเหล็กกล้าชุบแข็ง
Relic.Name.41180	คัมภีร์สลายร่าง
Relic.Name.41181	เมล็ดเยือกแข็ง
Relic.Name.41182	เลือดกำมะถัน
Relic.Name.41183	กระสุนเจาะแรงดันสูง
Relic.Name.41184	ขวดกรดเพลิง
Relic.Name.41185	ตู้เย็นโอเวอร์โหลด
Relic.Name.41186	ศิลาผนึกมังกร
Relic.Name.41187	ลูกศรห้าสี
Relic.Name.41188	ยุทธวิธีต่อเนื่อง
Relic.Name.41189	คริสตัลเวทผลักขั้ว
Relic.Name.41190	จอกทองมายา
Relic.Name.41191	เหรียญแบ่งภาค
Relic.Name.41192	กระสุนนักล่าราชา
Relic.Name.41193	แม็กกาซีนกระจาย
Relic.Name.41194	รางประจุ
Relic.Name.41195	แกนวิกฤต
Relic.Name.41196	อุปกรณ์กระจกเงา
Relic.Name.41197	เครื่องยนต์ประจุ
Relic.Name.41198	เครื่องสั่นพ้อง
Relic.Name.41199	ชุดมิสไซล์นำวิถี
Relic.Name.41200	ธนูเพลิงระเบิด
Relic.Name.41201	หน้ากากโทสะ
Relic.Name.43001	หลอม·รองเท้าคนโง่
Relic.Name.43002	หลอม·หมวกนักมายากล
Relic.Name.43003	หลอม·พวงมาลัยนักบวชหญิง
Relic.Name.43004	หลอม·หีบสมบัติจักรพรรดินี
Relic.Name.43005	หลอม·ดาบศักดิ์สิทธิ์จักรพรรดิ
Relic.Name.43006	หลอม·คทาสันตะปาปา
Relic.Name.43007	หลอม·ของขวัญคู่รัก
Relic.Name.43008	หลอม·ล้อรถศึก
Relic.Name.43009	หลอม·สนับแข้งพลัง
Relic.Name.43010	หลอม·เสื้อคลุมฤๅษี
Relic.Name.43011	หลอม·ตราชูโชคชะตา
Relic.Name.43012	หลอม·ดาบยุติธรรม
Relic.Name.43013	หลอม·เชือกคนแขวนคอ
Relic.Name.43014	หลอม·เคียวยมทูต
Relic.Name.43015	หลอม·ตราพอประมาณ
Relic.Name.43016	หลอม·เหรียญปีศาจ
Relic.Name.43017	หลอม·กุญแจหอคอย
Relic.Name.43018	หลอม·คทาดวงดาว
Relic.Name.43019	หลอม·คทาดวงจันทร์
Relic.Name.43020	หลอม·คทาดวงอาทิตย์
Relic.Name.43021	หลอม·ดาบพิพากษา
Relic.Name.43022	หลอม·ศิลาโลก
Relic.Name.43023	หลอม·ทับทิมเลือด
Relic.Name.43024	หลอม·กระสุนหนาม
Relic.Name.43025	หลอม·เครื่องรางเหล็กกล้า
Relic.Name.43026	หลอม·แหวนทุบหนัก
Relic.Name.43027	หลอม·คัมภีร์พลัง
Relic.Name.43028	หลอม·คัมภีร์เลือด
Relic.Name.43029	หลอม·ลูกแก้วกระหายเลือด
Relic.Name.43030	หลอม·แหวนแดงเลือด
Relic.Name.43031	หลอม·ถุงมือบดขยี้
Relic.Name.43032	หลอม·หอกเลือด
Relic.Name.43033	หลอม·แตรสงคราม
Relic.Name.43034	หลอม·ตำราอาคม
Relic.Name.43035	หลอม·ขวานเพชฌฆาต
Relic.Name.43036	หลอม·ใบมีดผ่าท้อง
Relic.Name.43037	หลอม·อ่างพิธีกรรม
Relic.Name.43038	หลอม·สร้อยจันทร์เลือด
Relic.Name.43039	หลอม·หนังสือจาริกบุญ
Relic.Name.43040	หลอม·หน้ากากสังหาร
Relic.Name.43041	หลอม·เมตตาจากพระเจ้า
Relic.Name.43042	หลอม·แหวนทุกข์ทรมาน
Relic.Name.43043	หลอม·จอกเลือด
Relic.Name.43044	หลอม·ไพลินสีคราม
Relic.Name.43045	หลอม·เครื่องรางเยือกแข็ง
Relic.Name.43046	หลอม·แหวนพิทักษ์
Relic.Name.43047	หลอม·เกราะน้ำแข็งละลาย
Relic.Name.43048	หลอม·เกราะปฐมพยาบาล
Relic.Name.43049	หลอม·เกราะห้ามเลือด
Relic.Name.43050	หลอม·แหวนควบแน่น
Relic.Name.43051	หลอม·เสาน้ำแข็ง
Relic.Name.43052	หลอม·สร้อยกลืนความร้อน
Relic.Name.43053	หลอม·กระสุนเยือกแข็ง
Relic.Name.43054	หลอม·เกราะหนักเยือกแข็ง
Relic.Name.43055	หลอม·ลูกแก้วพลังจลน์
Relic.Name.43056	หลอม·เกราะพายุ
Relic.Name.43057	หลอม·หนามเหน็บหนาว
Relic.Name.43058	หลอม·แหวนพายุ
Relic.Name.43059	หลอม·เกราะเกรี้ยวกราด
Relic.Name.43060	หลอม·มงกุฎดาวหาง
Relic.Name.43061	หลอม·ป้อมปราการอมตะ
Relic.Name.43062	หลอม·หัวใจพายุ
Relic.Name.43063	หลอม·จุมพิตลมหนาว
Relic.Name.43064	หลอม·ดวงตาเหมันต์
Relic.Name.43065	หลอม·ถุงมือประจุ
Relic.Name.43066	หลอม·รองเท้าประจุ
Relic.Name.43067	หลอม·กระสุนประจุ
Relic.Name.43068	หลอม·เครื่องรางสายฟ้า
Relic.Name.43069	หลอม·แหวนประจุ
Relic.Name.43070	หลอม·สร้อยประจุ
Relic.Name.43071	หลอม·มีดไฟฟ้าประจุ
Relic.Name.43072	หลอม·ลิ่มล่อสายฟ้า
Relic.Name.43073	หลอม·ลูกแก้วปั่นป่วน
Relic.Name.43074	หลอม·แม่เหล็กรวมพลัง
Relic.Name.43075	หลอม·ดวงตามังกรสายฟ้า
Relic.Name.43076	หลอม·ตัวเก็บประจุโอเวอร์โหลด
Relic.Name.43077	หลอม·กรงเล็บมังกรสายฟ้า
Relic.Name.43078	หลอม·สนามไฟฟ้าปั่นป่วน
Relic.Name.43079	หลอม·เกล็ดกลับมังกรสายฟ้า
Relic.Name.43080	หลอม·ขดลวดโอเวอร์โหลด
Relic.Name.43081	หลอม·มือฟ้าคำราม
Relic.Name.43082	หลอม·ลูกศรฟ้าคำราม
Relic.Name.43083	หลอม·มงกุฎฟ้าคำราม
Relic.Name.43084	หลอม·เกราะฟ้าคำราม
Relic.Name.43085	หลอม·เสียงคำรามสายฟ้า
Relic.Name.43086	หลอม·กระสุนปิดฉาก
Relic.Name.43087	หลอม·กระสุนเพลิง
Relic.Name.43088	หลอม·เครื่องรางเพลิง
Relic.Name.43089	หลอม·อัญมณีเพลิง
Relic.Name.43090	หลอม·เถ้าเพลิงนิรันดร์
Relic.Name.43091	หลอม·ระเบิดยุบตัว
Relic.Name.43092	หลอม·ระเบิดแรงสูง
Relic.Name.43093	หลอม·เตาหลอมเพลิง
Relic.Name.43094	หลอม·ถุงมือไฟย้อน
Relic.Name.43095	หลอม·ระเบิดฟอสฟอรัสขาว
Relic.Name.43096	หลอม·ตราฟีนิกซ์
Relic.Name.43097	หลอม·ลูกไฟระเบิด
Relic.Name.43098	หลอม·กระสุนเพลิงมรณะ
Relic.Name.43099	หลอม·ระเบิดเทอร์ไมต์
Relic.Name.43100	หลอม·กุหลาบตะวันแผดเผา
Relic.Name.43101	หลอม·แหวนแสงตะวัน
Relic.Name.43102	หลอม·แหวนเพลิงคลั่ง
Relic.Name.43103	หลอม·เพลิงนิพพาน
Relic.Name.43104	หลอม·ฟืนไม่รู้จบ
Relic.Name.43105	หลอม·ลูกแก้วแกนหลอมเหลว
Relic.Name.43106	หลอม·มงกุฎเพลิงระเบิด
Relic.Name.43107	หลอม·ดอกไม้พละกำลัง
Relic.Name.43108	หลอม·เครื่องรางกรด
Relic.Name.43109	หลอม·สมุนไพรรักษา
Relic.Name.43110	หลอม·เขี้ยวหนองน้ำ
Relic.Name.43111	หลอม·เบ้าแปรธาตุ
Relic.Name.43112	หลอม·โคลเวอร์นำโชค
Relic.Name.43113	หลอม·ลูกแก้วเติบโต
Relic.Name.43114	หลอม·เลือดเน่าเสีย
Relic.Name.43115	หลอม·ถุงมือพละกำลัง
Relic.Name.43116	หลอม·เมล็ดชีวิต
Relic.Name.43117	หลอม·เถาวัลย์พันธนาการ
Relic.Name.43118	หลอม·ลูกแก้วพลังชีวิต
Relic.Name.43119	หลอม·สร้อยไฮดรา
Relic.Name.43120	หลอม·ยาพิษติดไฟ
Relic.Name.43121	หลอม·หน้ากากกาฬโรค
Relic.Name.43122	หลอม·ดอกไม้ทางมรณะ
Relic.Name.43123	หลอม·ลำคอไฮดรา
Relic.Name.43124	หลอม·จอกกำเนิด
Relic.Name.43125	หลอม·แหวนพญางู
Relic.Name.43126	หลอม·มงกุฎรากเน่า
Relic.Name.43127	หลอม·น้ำตาลิช
Relic.Name.43128	หลอม·ดอกไม้ชีวิต
Relic.Name.43129	หลอม·รองเท้าความเร็ว
Relic.Name.43130	หลอม·เครื่องรางมรณะ
Relic.Name.43131	หลอม·ชิ้นส่วนน้ำหนักเบา
Relic.Name.43132	หลอม·จี้ธรรมดา
Relic.Name.43133	หลอม·ตำราเทคนิค
Relic.Name.43134	หลอม·แม็กกาซีนไฟฟอสฟอรัส
Relic.Name.43135	หลอม·สายใยแสง
Relic.Name.43136	หลอม·เครื่องรางสังหาร
Relic.Name.43137	หลอม·เครื่องรางทวีคูณ
Relic.Name.43138	หลอม·เครื่องสกัดพลังงาน
Relic.Name.43139	หลอม·เศษดาวตก
Relic.Name.43140	หลอม·ปริซึมไร้สี
Relic.Name.43141	หลอม·รังเพลิงมรณะ
Relic.Name.43142	หลอม·อุปกรณ์น้ำหนักเบา
Relic.Name.43143	หลอม·กระสุนทะเลทราย
Relic.Name.43144	หลอม·อุปกรณ์น้ำหนักมาก
Relic.Name.43145	หลอม·กระสุนล้างผลาญ
Relic.Name.43146	หลอม·ความสง่างามนักล่า
Relic.Name.43147	หลอม·เครื่องรางสูญสลาย
Relic.Name.43148	หลอม·แหวนขโมยเวลา
Relic.Name.43149	หลอม·ลูกเต๋าทะเลทราย
Relic.Name.43150	หลอม·มงกุฎฮึกเหิม
Relic.Name.43151	หลอม·กระปุกออมสินของแลนนี
Relic.Name.43152	หลอม·คริสตัลอาคม
Relic.Name.43153	หลอม·เครื่องปรับชิ้นส่วนอาวุธ
Relic.Name.43154	หลอม·ตัวกันสั่นการยิง
Relic.Name.43155	หลอม·กล้องเล็งล็อกเป้า
Relic.Name.43157	หลอม·แหวนห้าสี
Relic.Name.43158	หลอม·คริสตัลห้าสี
Relic.Name.43159	หลอม·แหวนสูงสุดห้าสี
Relic.Name.43160	หลอม·ใบเลื่อยประกายไฟ
Relic.Name.43161	หลอม·เยือกแข็งแผ่กระจาย
Relic.Name.43162	หลอม·ศิลาสายฟ้าประจุ
Relic.Name.43163	หลอม·อุกกาบาตแกนหลอมเหลว
Relic.Name.43164	หลอม·ขวดพิษปรอท
Relic.Name.43165	หลอม·ตราเหล็กกล้า
Relic.Name.43166	หลอม·ตราเยือกแข็ง
Relic.Name.43167	หลอม·ตราสายฟ้า
Relic.Name.43168	หลอม·ตราเพลิง
Relic.Name.43169	หลอม·ตรากรด
Relic.Name.43170	หลอม·กระสุนมิธริล
Relic.Name.43171	หลอม·กระสุนแช่แข็งฉับพลัน
Relic.Name.43172	หลอม·กระสุนช็อตไฟฟ้า
Relic.Name.43173	หลอม·กระสุนโฟลจิสตัน
Relic.Name.43174	หลอม·กระสุนกรดกัด
Relic.Name.43175	เหรียญนำโชคสารพัดนึก
Relic.Name.43176	หลอม·ศิลาประกายไฟ
Relic.Name.43177	หลอม·กระสุนศรเยือกแข็ง
Relic.Name.43178	หลอม·หมัดเยือกแข็ง
Relic.Name.43179	หลอม·แกนเหล็กกล้าชุบแข็ง
Relic.Name.43180	หลอม·คัมภีร์สลายร่าง
Relic.Name.43181	หลอม·เมล็ดเยือกแข็ง
Relic.Name.43182	หลอม·เลือดกำมะถัน
Relic.Name.43183	หลอม·กระสุนเจาะแรงดันสูง
Relic.Name.43184	หลอม·ขวดกรดเพลิง
Relic.Name.43185	หลอม·ตู้เย็นโอเวอร์โหลด
Relic.Name.43186	หลอม·ศิลาผนึกมังกร
Relic.Name.43187	หลอม·ลูกศรห้าสี
Relic.Name.43188	หลอม·ยุทธวิธีต่อเนื่อง
Relic.Name.43189	หลอม·คริสตัลเวทผลักขั้ว
Relic.Name.43190	หลอม·จอกทองมายา
Relic.Name.43191	หลอม·เหรียญแบ่งภาค
Relic.Name.43192	หลอม·กระสุนนักล่าราชา
Relic.Name.43193	หลอม·แม็กกาซีนกระจาย
Relic.Name.43194	หลอม·รางประจุ
Relic.Name.43195	หลอม·แกนวิกฤต
Relic.Name.43196	หลอม·อุปกรณ์กระจกเงา
Relic.Name.43197	หลอม·เครื่องยนต์ประจุ
Relic.Name.43198	หลอม·เครื่องสั่นพ้อง
Relic.Name.43199	หลอม·ชุดมิสไซล์นำวิถี
Relic.Name.43200	หลอม·ธนูเพลิงระเบิด
Relic.Name.43201	หลอม·หน้ากากโทสะ
Relic.Manual.41001	·<color=#d6b85b>เมื่อเกิด<link=\\"9001\\">[ออกเดินทาง]</link>:</color> ความเสียหายสุดท้าย +1%
Relic.Manual.41002	·ความเร็วรีโหลด +100%\n·<color=#d6b85b>รีโหลด:</color> มีโอกาส 40% รีโหลดเสร็จทันที
Relic.Manual.41003	·<color=#d6b85b><link=\\"9002\\">[ปลายทาง]:</link></color> ฟื้นพลังชีวิตที่เสียไป 30%
Relic.Manual.41004	·<color=#d6b85b><link=\\"9002\\">[ปลายทาง]:</link></color> สุ่มสร้างไอเทม 1 ชิ้น
Relic.Manual.41005	·อัตราคริติคอล +25%\n·ความเสียหายคริติคอล +100%
Relic.Manual.41006	·<color=#d6b85b>เมื่อใช้ท่าไม้ตาย:</color> เรียก<color=#f7e301>สายฟ้าทัณฑ์สวรรค์</color> 15 สายทั่วแผนที่ <color=#f7e301>สายฟ้าฟาด</color>แต่ละสายสร้าง<color=#f7e301>ความเสียหายสายฟ้า</color> 333% ต่อศัตรู <color=#f7e301>สายฟ้าทัณฑ์สวรรค์</color>นับเป็น<color=#d6b85b>ความเสียหายสกิลรบ</color>ด้วย
Relic.Manual.41007	·พลังโจมตีกระสุน +30%\n·<color=#a024ff>ความเสียหายสกิลรบ</color> +30%\n·พลังโจมตีกระสุนกับ<color=#a024ff>ความเสียหายสกิลรบ</color>จะเท่ากัน โดยยึดค่าที่สูงกว่าเสมอ
Relic.Manual.41008	·<color=#d6b85b>เมื่อจบการต่อสู้:</color> สร้างเรลิคที่มี<color=#d6b85b><link=\\"9001\\">[ออกเดินทาง]</link></color>หรือ<color=#d6b85b><link=\\"9002\\">[ปลายทาง]</link></color> 1 ชิ้น
Relic.Manual.41009	·พลังชีวิตสูงสุด +100% แต่คูลดาวน์หลบ +2 วินาที
Relic.Manual.41010	·<color=#d6b85b>หลบ:</color> เข้าสู่สถานะ<color=#d6b85b>[พร้อมลอบสังหาร]</color> ความเร็วเคลื่อนที่ +50% และกระสุนนัดถัดไปสร้างความเสียหาย +360% นาน 3 วินาที (คูลดาวน์ 6 วินาที)
Relic.Manual.41011	·ทุก 1 คู่ของ<color=#d6b85b>[ไพ่ทาโรต์]ตั้งตรง</color>และ<color=#d6b85b>[ไพ่ทาโรต์]กลับหัว</color>ที่ถืออยู่ ความเสียหายสุดท้าย +25%
Relic.Manual.41012	·ความเสียหายที่สร้างต่อศัตรูที่มีพลังชีวิตสูงกว่า 80% หรือต่ำกว่า 20% +120%
Relic.Manual.41013	·<color=#d6b85b>เมื่อเกิด<link=\\"9022\\">[แตกสลาย]</link>:</color> ความเสียหายสุดท้าย +3%
Relic.Manual.41014	·<color=#d6b85b>เมื่อใช้ท่าไม้ตาย:</color> เรียก<color=#fff8cb>เคียวยมทูต</color>กวาดไปข้างหน้า สร้าง<color=#fff8cb>ความเสียหายจริง</color> 444% ต่อศัตรูทั้งหมด\n·<color=#d6b85b>เมื่อเกิด<link=\\"9002\\">[ปลายทาง]</link>:</color> ความเสียหายของ<color=#fff8cb>เคียวยมทูต</color> +44%
Relic.Manual.41015	·<color=#d6b85b>เมื่อแยกชิ้นส่วนไอเทม:</color> สุ่มรับ<color=#f44f06><link=\\"9023\\">[เถ้าเพลิง]</link></color>หรือ<color=#3dda4f><link=\\"9024\\">[เติบโต]</link></color> 2 ชั้น
Relic.Manual.41016	·<color=#d6b85b><link=\\"9001\\">[ออกเดินทาง]: </link></color>โยน<color=#d6b85b>เหรียญปีศาจ</color> รับเอฟเฟกต์<color=#d6b85b>[หัว]</color>หรือ<color=#d6b85b>[ก้อย]</color> 1 ชั้น\n·<color=#d6b85b>[หัว]:</color> ความเสียหายสุดท้าย +6%\n·<color=#d6b85b>[ก้อย]:</color> ความเสียหายที่ได้รับทั้งหมด +6%
Relic.Manual.41017	·<color=#d6b85b><link=\\"9022\\">[แตกสลาย]</link>:</color> สุ่มรับเรลิคคุณภาพ<color=#d77d3a>ตำนาน</color> 1 ชิ้น
Relic.Manual.41018	·<color=#d6b85b>เมื่อพกพา:</color> รับ<color=#3dda4f><link=\\"9024\\">[เติบโต]</link></color> 50 ชั้น
Relic.Manual.41019	·<color=#d6b85b>เมื่อเกิดแปรปรวน:</color> รับ<color=#d6b85b>[พรจันทรา]</color> 1 ชั้น เมื่อ<color=#11f7ef>[พรจันทรา]</color>ครบ 10 ชั้น จะเรียก<color=#11f7ef>แสงจันทร์</color>สร้าง<color=#11f7ef>ความเสียหายเยือกแข็ง</color> 1000% ต่อศัตรูทั้งหมด <color=#11f7ef>แสงจันทร์</color>นับเป็นความเสียหายแปรปรวน
Relic.Manual.41020	·<color=#d6b85b>เมื่อใช้ท่าไม้ตาย:</color> การยิงครั้งถัดไปเพิ่ม<color=#f44f06>เปลวสุริยะ</color> สร้าง<color=#f44f06>ความเสียหายเพลิง</color> 1500% <color=#f44f06>เปลวสุริยะ</color>นับเป็นความเสียหายกระสุนด้วย
Relic.Manual.41021	·<color=#d6b85b>เมื่อพลังชีวิตศัตรูต่ำกว่า 60%:</color> ทุก 1% ของพลังชีวิตที่หายไป ความเสียหายที่ศัตรูได้รับ +1%
Relic.Manual.41022	·<color=#d6b85b><link=\\"9001\\">[ออกเดินทาง]: </link></color>รับ<color=#f44f06><link=\\"9023\\">[เถ้าเพลิง]</link></color>, <color=#3dda4f><link=\\"9024\\">[เติบโต]</link></color> และ<color=#11f7ef><link=\\"9025\\">[เกราะ]</link></color> อย่างละ 1 ชั้น\n·<color=#d6b85b><link=\\"9002\\">[ปลายทาง]:</link></color> รับ<color=#f44f06><link=\\"9023\\">[เถ้าเพลิง]</link></color>, <color=#3dda4f><link=\\"9024\\">[เติบโต]</link></color> และ<color=#11f7ef><link=\\"9025\\">[เกราะ]</link></color> อย่างละ 1 ชั้น
