# key	thai
RoleSkillTree.Name.2000112	หัวใจยุติธรรม
RoleSkillTree.Description.2000253	หลังกระตุ้น<color=#d6b85b>[เซียนการค้า]</color> แลนนีได้รับ<color=#11f7ef>[เกราะ]</color> 35
RoleSkillTree.Description.2000261	ขณะอยู่ใน<color=#d6b85b>[เสี่ยงสูงคุ้มสูง]</color> การยิงแต่ละครั้งจะยิงเหรียญเพิ่ม 1 เหรียญ สร้าง<color=#d6b85b>ความเสียหายธาตุอาวุธปัจจุบัน</color> 100% ของพลังโจมตีกระสุนแก่เป้าหมาย
RoleSkillTree.Description.2000262	หลังกระตุ้น<color=#d6b85b>[เซียนการค้า]</color> แลนนีได้รับเรลิคเฉพาะตัว: <color=#D77D3A>ตัวเร่งการหลอม</color>\\n \\n<color=#D77D3A>เหรียญนำโชคสารพัดนึก</color>\\nหลอมร่วมกับเรลิคใดก็ได้\\n<color=#d6b85b><link=\\"9022\\">[แตกสลาย]</link></color>: รับ<color=#f44f06><link=\\"9023\\">[เถ้าเพลิง]</link></color>, <color=#3dda4f><link=\\"9024\\">[เติบโต]</link></color> และ<color=#11f7ef><link=\\"9025\\">[เกราะ]</link></color> อย่างละ 7 ชั้นถาวร
RoleSkillTree.Description.2000263	อัปเกรด<color=#d6b85b>[เซียนการค้า]</color> ให้มอบ<color=#D77D3A>เรลิคตำนาน</color><color=#d6b85b>ปริศนา</color> 1 ชิ้น
RoleSkillTree.Description.2000312	สุ่มยิงกระสุนเงิน 5 นัดใส่ศัตรูในวงกว้างรอบตัว แต่ละนัดสร้าง<color=#d6b85b>ความเสียหายธาตุอาวุธปัจจุบัน</color> 140%
RoleSkillTree.Description.2000311	เมื่อยิง มีโอกาส 15% กระตุ้น<color=#d6b85b>[ยิงสองนัด]</color> ยิงกระสุนเพิ่ม 1 นัด
RoleSkillTree.Description.2000321	หลังใช้<color=#d6b85b>[กระสุนเงินสังหาร]</color> การยิง 3 ครั้งถัดไปกระตุ้น<color=#d6b85b>[ยิงสองนัด]</color>แน่นอน
RoleSkillTree.Description.2000322	<color=#d6b85b>เมื่อใช้สกิลรบ</color> การยิงครั้งถัดไปกระตุ้น<color=#d6b85b>[ยิงสองนัด]</color>แน่นอน
RoleSkillTree.Description.2000323	โอกาสกระตุ้น<color=#d6b85b>[ยิงสองนัด]</color> +10%
RoleSkillTree.Description.2000331	<color=#d6b85b>[กระสุนเงินสังหาร]</color> สร้างความเสียหายคูณสองเมื่อคริติคอล
RoleSkillTree.Description.2000332	ความเสียหายสุดท้ายของ<color=#d6b85b>[กระสุนเงินสังหาร]</color> +60%
RoleSkillTree.Description.2000333	<color=#d6b85b>[กระสุนเงินสังหาร]</color> ยิงเพิ่ม 3 นัด และเจาะทะลุศัตรูได้
RoleSkillTree.Description.2000341	เมื่อ<color=#d6b85b>[กระสุนเงินสังหาร]</color>โดนเป้าหมาย จะติด<color=#d6b85b>[ตรานักล่า]</color> ทำให้เป้าหมายรับความเสียหาย +50% นาน 6 วินาที
RoleSkillTree.Description.2000342	พลังโจมตีกระสุน +20%
RoleSkillTree.Description.2000343	<color=#d6b85b>รีโหลด</color>: อัตรายิงของมาร์คัส +20% นาน 3 วินาที
RoleSkillTree.Description.2000351	เมื่อเริ่มเกม มาร์คัสได้รับ<color=#11f7ef>[เกราะ]</color> 30
RoleSkillTree.Description.2000352	เมื่อมาร์คัสได้รับ<color=#e92f2f>ความเสียหายถึงตาย</color> ฟื้นพลังชีวิตสูงสุด 50% ทันที จำกัด 1 ครั้งต่อเกม
RoleSkillTree.Description.2000353	เมื่อพลังชีวิตของมาร์คัสต่ำกว่า 20% ทุกนัดที่ยิงโดนศัตรูจะฟื้นพลังชีวิตสูงสุด 1%
RoleSkillTree.Description.2000361	เมื่อ<color=#d6b85b>[กระสุนเงินสังหาร]</color>โดนศัตรู มีโอกาส 50% กระตุ้น<color=#d6b85b>เอฟเฟกต์<color=#d6b85b><link=\\"9033\\">[แปรปรวน]</link></color></color>ของอาวุธปัจจุบัน
RoleSkillTree.Description.2000362	เมื่อ<color=#d6b85b>[ยิงสองนัด]</color>ทำงาน จะมี<color=#99b7bb><link=\\"9035\\">โอกาสปรับตัว</link></color> 40% ยิง<color=#d6b85b>[กระสุนเงินสังหาร]</color>ฟรี 1 ครั้ง
RoleSkillTree.Description.2000363	โอกาสกระตุ้น<color=#d6b85b>[ยิงสองนัด]</color> +8%\\nเมื่อทำงาน จะยิงกระสุนเพิ่มอีก 1 นัด
RoleSkillTree.Description.2000411	ทุก {1002:1001} ครั้งที่<color=#d6b85b>แยกชิ้นส่วน</color>อาวุธหรือชิ้นส่วนอาวุธ สุ่มรับอาวุธหรือชิ้นส่วนอาวุธ<color=#d6b85b>ปริศนา</color> 1 ชิ้น
RoleSkillTree.Description.2000412	เจนนีขว้าง<color=#d6b85b>[ระเบิดแมวป่า]</color>ใส่ศัตรูที่ใกล้ที่สุดในระยะ 1000 ระเบิดสร้าง<color=#d6b85b>ความเสียหายธาตุอาวุธปัจจุบัน</color> 600% แก่ศัตรูในวง
RoleSkillTree.Description.2000421	เมื่อ<color=#d6b85b>[ขยะเป็นสมบัติ]</color>ทำงาน ได้รับชิ้นส่วนเพิ่ม 10 ชิ้น
RoleSkillTree.Description.2000422	ทุก 10 ชิ้นส่วนที่ถืออยู่ ความเสียหายทั้งหมด +1% สูงสุด 30%
RoleSkillTree.Description.2000423	เมื่อ<color=#d6b85b>[ขยะเป็นสมบัติ]</color>ทำงานครั้งที่ 2 ในแต่ละเกม จะอัปเกรดระเบิดแมวป่าของสกิลแอ็กทีฟ ความเสียหายสุดท้าย +50% และรัศมี +20%
RoleSkillTree.Description.2000431	ศัตรูที่โดน<color=#d6b85b>[ระเบิดแมวป่า]</color>รับความเสียหายจากทุกแหล่ง +15% นาน 8 วินาที สูงสุด 3 ชั้น
RoleSkillTree.Description.2000432	เมื่อ<color=#d6b85b>[ระเบิดแมวป่า]</color>โดนศัตรู มีโอกาส 25% กระตุ้น<color=#d6b85b>เอฟเฟกต์แปรปรวน</color>ของอาวุธปัจจุบันของเจนนี
RoleSkillTree.Description.2000433	เมื่อ<color=#d6b85b>[ระเบิดแมวป่า]</color>โดนศัตรู จะสร้างสุญญากาศรัศมี 500 หลาเพิ่ม ดูดศัตรูรอบข้างเข้าสู่จุดกลาง
RoleSkillTree.Description.2000441	จำนวนครั้งการแยกชิ้นส่วนที่ต้องใช้เพื่อกระตุ้น<color=#d6b85b>[ขยะเป็นสมบัติ]</color> -1
RoleSkillTree.Description.2000442	ใช้<color=#d6b85b>[ระเบิดแมวป่า]</color> มีโอกาส 50% ขว้างเพิ่มอีก 1 ลูก ขณะอยู่ในการต่อสู้ ถ้า<color=#d6b85b>[ระเบิดแมวป่า]</color>พร้อมใช้ จะใช้<color=#d6b85b>[ระเบิดแมวป่า]</color>อัตโนมัติเมื่อกระสุนโดนศัตรู
RoleSkillTree.Description.2000443	เมื่อ<color=#d6b85b>[ระเบิดแมวป่า]</color>ระเบิด จะกระจายระเบิดแมวรอง 6 ลูกในรัศมี 200 หลา แต่ละลูกสร้างความเสียหาย 20% ของระเบิดต้นฉบับ
RoleSkillTree.Description.2000451	เมื่อเจนนีใช้<color=#d6b85b>[ระเบิดแมวป่า]</color>ขณะพลังชีวิตต่ำกว่า 20% ฟื้นพลังชีวิตที่เสียไป 10%
RoleSkillTree.Description.2000452	เมื่อเจนนีได้รับความเสียหายถึงตาย ฟื้นพลังชีวิตสูงสุด 50% ทันที จำกัด 1 ครั้งต่อเกม
RoleSkillTree.Description.2000453	เมื่อ<color=#d6b85b>[ขยะเป็นสมบัติ]</color>ทำงาน ได้รับเกราะเท่ากับ 10% ของพลังชีวิตสูงสุด
RoleSkillTree.Description.2000461	สร้างความเสียหายต่อศัตรูอีลิทและบอสเพิ่ม 30% หลังกำจัดบอส ดรอปอาวุธหรือชิ้นส่วนอาวุธเพิ่ม 1 ชิ้น
RoleSkillTree.Description.2000462	เมื่อ<color=#d6b85b>[ขยะเป็นสมบัติ]</color>ทำงานครั้งที่ 5 ในแต่ละเกม ได้รับ<color=#D77D3A>อาวุธหรือชิ้นส่วนอาวุธคุณภาพตำนาน</color><color=#d6b85b>ปริศนา</color> 1 ชิ้น เมื่อถืออาวุธหรือชิ้นส่วนอาวุธคุณภาพตำนานขึ้นไป ความเสียหายสุดท้าย +15%
RoleSkillTree.Description.2000463	เมื่อใช้สกิลรบ จะมี<color=#99b7bb><link=\\"9035\\">โอกาสปรับตัว</link></color> 23% ใช้<color=#d6b85b>[ระเบิดแมวป่า]</color>ฟรี 1 ครั้ง
RoleSkillTree.Description.2000512	เข้าสู่<color=#d6b85b>เวลาล่าปีศาจ</color> อัตราคริติคอล อัตรายิง และความเร็วรีโหลดของเอเลนา +20% การหลบเปลี่ยนเป็น<color=#d6b85b>พุ่งตัว</color> และยิงกับรีโหลดได้ขณะ<color=#d6b85b>พุ่งตัว</color> นาน 8 วินาที
RoleSkillTree.Description.2000511	<color=#d6b85b>หลังยิง</color>: การหลบครั้งถัดไปของเอเลนาจะยิง<color=#d6b85b>ลูกศรเงินล่าปีศาจ</color>ใส่ศัตรูที่ใกล้ที่สุด สร้าง<color=#d6b85b>ความเสียหายธาตุอาวุธปัจจุบัน</color> 30%
RoleSkillTree.Description.2000521	เมื่อ<color=#d6b85b>[ลูกศรเงินล่าปีศาจ]</color>สร้างความเสียหาย จะติดตราศัตรู ทำให้รับความเสียหาย +15% นาน 3 วินาที
RoleSkillTree.Description.2000522	เมื่อ<color=#d6b85b>[ลูกศรเงินล่าปีศาจ]</color>ทำงาน จะมี<color=#99b7bb><link=\\"9035\\">โอกาสปรับตัว</link></color> 60% ยิงเพิ่มอีก 1 ดอก
RoleSkillTree.Description.2000523	<color=#d6b85b>[ลูกศรเงินล่าปีศาจ]</color> สร้างความเสียหายสุดท้ายต่อศัตรูที่พลังชีวิตต่ำกว่า 50% +70%
RoleSkillTree.Description.2000531	ระยะเวลาของ<color=#d6b85b>[เวลาล่าปีศาจ]</color> +50%
RoleSkillTree.Description.2000532	ขณะอยู่ใน<color=#d6b85b>[เวลาล่าปีศาจ]</color> ความเสียหายคริติคอลของเอเลนา +40%
RoleSkillTree.Description.2000533	ขณะอยู่ใน<color=#d6b85b>[เวลาล่าปีศาจ]</color> อัตรายิงของเอเลนา +30% และความเร็วรีโหลด +30%
RoleSkillTree.Description.2000541	ขณะอยู่ใน<color=#d6b85b>[เวลาล่าปีศาจ]</color> การหลบของเอเลนาจะยิง<color=#d6b85b>ลูกศรเงินล่าปีศาจ</color>ใส่ศัตรูที่ใกล้ที่สุดอัตโนมัติ โดยไม่ต้องยิงก่อน ขณะต่อสู้ ถ้า<color=#d6b85b>[เวลาล่าปีศาจ]</color>พร้อมใช้ การหลบจะเปิดใช้ให้อัตโนมัติ
RoleSkillTree.Description.2000542	เงื่อนไขกระตุ้น<color=#d6b85b>[ลูกศรเงินล่าปีศาจ]</color>เปลี่ยนเป็น: เมื่อยิง จะมี<color=#99b7bb><link=\\"9035\\">โอกาสปรับตัว</link></color> 60% ยิง<color=#d6b85b>ลูกศรเงินล่าปีศาจ</color> 1 ดอก
RoleSkillTree.Description.2000543	เอเลนาสร้างความเสียหายต่อศัตรูที่พลังชีวิตสูงกว่า 75% +40%
RoleSkillTree.Description.2000551	ขณะอยู่ใน<color=#d6b85b>[เวลาล่าปีศาจ]</color> ถ้าพลังชีวิตของเอเลนาต่ำกว่า 35% จะฟื้นพลังชีวิตสูงสุด 2% ต่อวินาที และความเร็วเคลื่อนที่ +40%
RoleSkillTree.Description.2000552	เมื่อเอเลนาได้รับ<color=#e92f2f>ความเสียหายถึงตาย</color> ฟื้นพลังชีวิตสูงสุด 50% ทันที จำกัด 1 ครั้งต่อเกม
RoleSkillTree.Description.2000553	ช่วงอมตะตอนหลบของเอเลนายาวขึ้น 0.1 วินาที
RoleSkillTree.Description.2000561	ขณะอยู่ใน<color=#d6b85b>[เวลาล่าปีศาจ]</color> <color=#d6b85b>[ลูกศรเงินล่าปีศาจ]</color>สร้างความเสียหาย 400% และยิงเพิ่มอีก 1 ดอก
RoleSkillTree.Description.2000562	ขณะอยู่ใน<color=#d6b85b>[เวลาล่าปีศาจ]</color> การยิงของเอเลนาไม่เปลืองกระสุน
RoleSkillTree.Description.2000563	เมื่อ<color=#d6b85b>[ลูกศรเงินล่าปีศาจ]</color>สร้างความเสียหาย จะยิง<color=#d6b85b>เศษลูกศรเงิน</color> 5 ชิ้นที่เจาะทะลุศัตรูได้ไปรอบข้าง แต่ละชิ้นสร้าง<color=#d6b85b>ความเสียหายธาตุอาวุธปัจจุบัน</color> 25%
RoleSkillTree.Description.2000612	เรียกแอมเบอร์ แอมเบอร์พ่น<color=#d6b85b>[ลมหายใจมังกร]</color>ใส่ศัตรูทุกวินาที สร้างความเสียหายธาตุอาวุธหลัก 80% และติด<color=#d6b85b>[เปลวมังกร]</color>\\n <color=#d6b85b>[เปลวมังกร]</color>: สร้างความเสียหายธาตุอาวุธหลักเท่ากับ 10% ของ DPS อาวุธต่อวินาที นาน 4 วินาที สูงสุด 5 ชั้น
RoleSkillTree.Description.2000611	แอมเบอร์เข้าสู่<color=#d6b85b>[บ้าคลั่ง]</color> ความเสียหายสุดท้าย +100% ความเร็วโจมตี +100% นาน 10 วินาที
RoleSkillTree.Description.2000621	เมื่อใช้สกิลรบ สั่งให้แอมเบอร์โจมตี 1 ครั้งทันที
RoleSkillTree.Description.2000622	ความเสียหายพื้นฐานของ<color=#d6b85b>[ลมหายใจมังกร]</color>ของแอมเบอร์ +100%
RoleSkillTree.Description.2000623	ศัตรูที่ติด<color=#d6b85b>[เปลวมังกร]</color>รับความเสียหายสุดท้าย +10%
RoleSkillTree.Description.2000631	ขณะแอมเบอร์อยู่ใน<color=#d6b85b>[บ้าคลั่ง]</color> อัตรายิงของหลงถง +45%
