# key	thai
TeamSkill.Name.90101	ความเสียหายสุดท้าย +5%
TeamSkill.Name.90706	ขณะอยู่ในสถานะ <color=#d6b85b>[สู้เพื่ออยู่รอด]</color> ความเสียหายที่ได้รับ -10%
TeamSkill.Name.907011	คูลดาวน์สกิลรบ -20%
TeamSkill.Name.907021	อัตรายิง +30% ความเร็วรีโหลด +30%
TeamSkill.Name.907031	เมื่อเข้าจุดพัก ได้รับอาวุธหรือชิ้นส่วนอาวุธปริศนา 1 ชิ้นทันที
TeamSkill.Name.907041	เมื่อเข้าจุดพัก ได้รับเรลิคปริศนา 1 ชิ้นทันที
TeamSkill.Name.907051	กำจัดบอส ฟื้นพลังชีวิตที่เสียไป 20%
TeamSkill.Name.907061	ขณะอยู่ในสถานะ <color=#d6b85b>[สู้เพื่ออยู่รอด]</color> ความเสียหายที่ได้รับ -20%
TeamSkill.Name.90801	เมื่อเกิด <color=#d6b85b>[เจาะจุดอ่อน]</color> ลดคูลดาวน์สกิลรบปัจจุบัน 20%
TeamSkill.Name.90802	เมื่อเกิด <color=#d6b85b>[เจาะจุดอ่อน]</color> โบนัสจาก <color=#d6b85b>[มือปืนไว]</color> เพิ่มเป็น 2 เท่า นาน 3 วินาที
TeamSkill.Name.90803	เมื่อเปิดหีบในห้องอาวุธและชิ้นส่วนอาวุธ สามารถสละรางวัลเพื่อรีเฟรชอัฟฟิกซ์ของอาวุธหลักแทนได้
TeamSkill.Name.90804	เมื่อเลือกเรลิค รีเฟรชได้ 1 ครั้ง
TeamSkill.Name.90805	เอฟเฟกต์ของ <color=#d6b85b>[นักล่าอาบเลือด]</color> +50%
TeamSkill.Name.90806	<color=#d6b85b>[สู้เพื่ออยู่รอด]</color> เปลี่ยนเป็นทำงานเมื่อพลังชีวิตต่ำกว่า 50%
TeamSkill.Name.90901	โอกาสเกิด <color=#d6b85b>[เจาะจุดอ่อน]</color> +10%
TeamSkill.Name.90902	อัตราดรอปไอเทม<color=#b41cf4>มหากาพย์</color>เพิ่มขึ้นเล็กน้อย
TeamSkill.Name.90903	เมื่อล้มลง ฟื้นคืนชีพด้วยพลังชีวิต 30% ของสูงสุด (จำกัด 1 ครั้งต่อเกม)
TeamSkill.Name.91001	ความเสียหายสุดท้าย +30% อัตราดรอปอาวุธ<color=#ff4b9a>มิธิค</color>เพิ่มขึ้นเล็กน้อย
TeamSkill.Name.91002	พลังชีวิตพื้นฐาน +30% อัตราดรอปเรลิค<color=#f4a51c>ตำนาน</color>เพิ่มขึ้นเล็กน้อย
