# key	thai
Notplayercharacter.id.30121	นายทหารเสบียง
Notplayercharacter.id.30441	พ่อค้าสารพัด
Notplayercharacter.id.30442	พ่อค้าสารพัด
Notplayercharacter.id.30443	พ่อค้าสารพัด
Notplayercharacter.id.30444	พ่อค้าสารพัด
Notplayercharacter.id.30445	พ่อค้าสารพัด
Notplayercharacter.id.30451	หีบสมบัติแดนลับ (ธรรมดา)
Notplayercharacter.id.30452	หีบสมบัติแดนลับ (ทอง)
Notplayercharacter.id.30453	หีบสมบัติแดนลับ (แดง)
Notplayercharacter.id.30461	แผ่นศิลาแดนลับ
Notplayercharacter.id.30471	คริสตัลลึกลับ
Notplayercharacter.id.30481	เศษเสี้ยวเรื่องราว 1
Notplayercharacter.id.30491	เศษเสี้ยวเรื่องราว 2
Notplayercharacter.id.30501	เศษเสี้ยวเรื่องราว 3
Notplayercharacter.id.30511	เศษเสี้ยวเรื่องราว 4
Notplayercharacter.id.30521	เศษเสี้ยวเรื่องราว 5
Notplayercharacter.id.30531	เศษเสี้ยวเรื่องราว 6
Notplayercharacter.id.30541	ฉัน
Notplayercharacter.id.30551	เสียงกระซิบลึกลับ
Notplayercharacter.id.30561	พวงมาลัยเรือ
Notplayercharacter.id.30571	ลิลี่
Notplayercharacter.id.30581	ลิลี่
Notplayercharacter.id.30591	เศษเสี้ยวเรื่องราว 7
Notplayercharacter.id.30601	เศษเสี้ยวเรื่องราว 8
Notplayercharacter.id.30611	เศษเสี้ยวเรื่องราว 9
Notplayercharacter.id.30621	ลิฟต์เศษความเป็นไปได้
Notplayercharacter.id.30631	บอสนักบวชตัวสุดท้าย
Notplayercharacter.id.30641	เจสเตอร์
Notplayercharacter.id.30651	แลนนี
Notplayercharacter.id.30661	มาร์คัส
Notplayercharacter.id.30671	เจนนี
Notplayercharacter.id.30681	เอเลนา
Notplayercharacter.id.30691	หลงถง
Notplayercharacter.id.30701	สเตลลา
Notplayercharacter.id.30711	ลิลี่
Notplayercharacter.id.30721	ทุกคนเงียบ
Notplayercharacter.Action.30111	พูดคุย
Notplayercharacter.Action.30112	พูดคุย
Notplayercharacter.Action.30113	แอบฟัง
Notplayercharacter.Action.30121	ตบเบาๆ
Notplayercharacter.Action.30131	พูดคุย
Notplayercharacter.Action.30132	พูดคุย
Notplayercharacter.Action.30133	พูดคุย
Notplayercharacter.Action.30141	ฟื้นพลังชีวิต 30%
Notplayercharacter.Action.30142	เดินหน้า
Notplayercharacter.Action.30143	พูดคุย
Notplayercharacter.Action.30144	พูดคุย
Notplayercharacter.Action.30151	พูดคุย
Notplayercharacter.Action.30152	พูดคุย
Notplayercharacter.Action.30153	พูดคุย
Notplayercharacter.Action.30154	เปิดหีบ
Notplayercharacter.Action.30161	ปรุงยา
Notplayercharacter.Action.30171	พูดคุย
Notplayercharacter.Action.30181	พูดคุย
Notplayercharacter.Action.30191	พูดคุย
Notplayercharacter.Action.30201	พูดคุย
Notplayercharacter.Action.30211	พูดคุย
Notplayercharacter.Action.30221	พูดคุย
Notplayercharacter.Action.30231	เปิด
Notplayercharacter.Action.30241	ช่วยเหลือ
Notplayercharacter.Action.30251	ทำนาย
Notplayercharacter.Action.30261	พูดคุย
Notplayercharacter.Action.30262	ฟื้นพลังชีวิต 30%
Notplayercharacter.Action.30271	ทำนาย
Notplayercharacter.Action.30272	ปลดปล่อย
Notplayercharacter.Action.30281	ตีอาวุธ
Notplayercharacter.Action.30282	ตีอาวุธ
Notplayercharacter.Action.30283	ปลดปล่อย
Notplayercharacter.Action.30291	ดู
Notplayercharacter.Action.30301	ดู
Notplayercharacter.Action.30311	ดู
Notplayercharacter.Action.30321	ดู
Notplayercharacter.Action.30361	เตรียมพร้อม
Notplayercharacter.Action.30371	พูดคุย
Notplayercharacter.Action.30372	พูดคุย
Notplayercharacter.Action.30373	พูดคุย
Notplayercharacter.Action.30374	พูดคุย
Notplayercharacter.Action.30375	พูดคุย
Notplayercharacter.Action.30381	พูดคุย
Notplayercharacter.Action.30391	พูดคุย
Notplayercharacter.Action.30401	พูดคุย
Notplayercharacter.Action.30411	พูดคุย
Notplayercharacter.Action.30421	พูดคุย
Notplayercharacter.Action.30431	สัมผัส
Notplayercharacter.Action.30441	พูดคุย
Notplayercharacter.Action.30442	พูดคุย
Notplayercharacter.Action.30443	พูดคุย
Notplayercharacter.Action.30444	พูดคุย
Notplayercharacter.Action.30445	พูดคุย
Notplayercharacter.Action.30451	เปิด
Notplayercharacter.Action.30452	เปิด
Notplayercharacter.Action.30453	เปิด
Notplayercharacter.Action.30461	สัมผัส
Notplayercharacter.Action.30471	สัมผัส
Notplayercharacter.Action.30481	สัมผัส
Notplayercharacter.Action.30491	ดู
Notplayercharacter.Action.30501	ดู
Notplayercharacter.Action.30511	ดู
Notplayercharacter.Action.30521	ดู
Notplayercharacter.Action.30531	ดู
Notplayercharacter.Action.30541	ดู
Notplayercharacter.Action.30551	ดู
Notplayercharacter.Action.30561	ออกเดินทาง
Notplayercharacter.Action.30571	พูดคุย
Notplayercharacter.Action.30581	พูดคุย
Notplayercharacter.Action.30591	ดู
Notplayercharacter.Action.30601	ดู
Notplayercharacter.Action.30611	ดู
Notplayercharacter.Action.30621	เตรียมพร้อม
Notplayercharacter.Action.30631	เตรียมพร้อม
Notplayercharacter.id.30741	？？？
