# key	thai
Weapon.Name.100204	ทะลุขีดจำกัด
Weapon.Name.100744	เรลกัน
Weapon.Name.100745	เรลกัน
Weapon.Name.100751	แบตเตอรี่
Weapon.Name.100752	แบตเตอรี่
Weapon.Name.100753	แบตเตอรี่
Weapon.Name.100754	แบตเตอรี่
Weapon.Name.100755	แบตเตอรี่
Weapon.Name.100761	ปืนลม
Weapon.Name.100762	ปืนลม
Weapon.Name.100763	ปืนลม
Weapon.Name.100764	ปืนลม
Weapon.Name.100765	ปืนลม
Weapon.Name.100771	หน้าไม้เพลิง
Weapon.Name.100772	หน้าไม้เพลิง
Weapon.Name.100773	หน้าไม้เพลิง
Weapon.Name.100774	หน้าไม้เพลิง
Weapon.Name.100775	หน้าไม้เพลิง
Weapon.Name.100781	น้องน้ำแข็ง
Weapon.Name.100782	น้องน้ำแข็ง
Weapon.Name.100783	น้องน้ำแข็ง
Weapon.Name.100784	น้องน้ำแข็ง
Weapon.Name.100785	น้องน้ำแข็ง
Weapon.Name.100791	เถ้าถ่าน
Weapon.Name.100792	เถ้าถ่าน
Weapon.Name.100793	เถ้าถ่าน
Weapon.Name.100794	เถ้าถ่าน
Weapon.Name.100795	เถ้าถ่าน
Weapon.Name.100805	ทะลุฟ้า
